stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
INTC,22.040000915527344,0.8651800658234485,1.4040564268895115,1.7255360225548095,2.468557315752813,0.6067700413971158,-4.398767837184163,3.7353532219484613,0.021160236075805847
WFC,58.470001220703125,1.3130418581907648,1.8688490860151397,2.146505464293398,3.0395096380645215,0.874819874833172,-8.3994057718348,8.112655239267738,0.01377109326961656
VZ,41.779998779296875,0.905174586139168,1.3655435826726317,1.4961128272286146,2.263444588397162,0.5731813102078621,-9.646279495128454,4.4539299399296794,-0.020688146505157226
PYPL,72.43000030517578,2.4683359409304586,3.412241770253997,3.961793048870504,5.112058392391536,1.5633840207238607,-12.193121997491062,16.156657840219765,-0.034096980558898794
WMT,77.2300033569336,1.2844192749196566,2.0540215072822043,2.3644825338934226,3.711144109799623,0.8703994905572541,-11.02530770596853,9.095610187079416,-0.029513457161592715
QCOM,174.39874267578125,6.000980671221328,8.309493027812989,9.373619224883527,12.785708196909507,3.8690138816545616,-38.33128332899474,22.158683287423372,0.07270586352208987
MRK,118.44999694824219,2.0123627758259346,3.243165496105812,3.9471477824336034,5.865381734464872,1.4900536196045113,-15.54209175996273,24.08169489395823,-0.0028566782288959587
LLY,960.02001953125,28.71934817979343,44.381932958323254,53.673429875930765,76.09032774276264,18.9800146652143,-172.84021613127197,166.94143874728684,-1.0771181006332824
MCD,286.9900207519531,5.118648700067354,7.049363689180333,8.019019331422328,10.580226900895372,3.2480489145135527,-34.781835220619115,22.65269850904025,0.01601960620771303
T,19.899999618530273,0.41974104131692513,0.6216705610228391,0.7531968721244269,0.9857660936767729,0.2754856484999352,-2.404449714023869,1.8000729138850993,-0.005028553410804173
NKE,82.94999694824219,2.0386690631248996,3.3700063414977013,3.9409681200805124,6.228941795387304,1.5629408221642496,-29.915999784810992,19.058813511909676,0.10546452520529372
DHR,269.30999755859375,6.214103768700056,8.746456818656492,10.275035089009691,13.54468633426613,4.074616472239705,-34.168466223592986,69.89826081938162,-0.2239859067739273
LOW,248.5,5.714051861828324,8.367053582634039,9.48001252638906,13.318304640516454,3.874791132056369,-37.833186603914015,57.494214716482816,-0.12610473791124088
LIN,476.8476867675781,6.905937531308609,10.785926149554713,12.622742108805426,18.644101640052508,4.830844679914384,-40.85231759243544,65.94944097163204,-0.08090161783360288
TXN,214.33999633789062,5.466311738609988,7.460012993799064,8.484563451272635,10.716333262336775,3.4483976146412023,-46.848883061438386,16.427527801933053,-0.043342955557159585
NEE,80.51000213623047,2.326051482500702,3.8197433119216573,4.5275854533355755,6.865732006089493,2.018120005918375,-26.33330254027568,70.34873819042534,0.057571882025553904
AMD,148.55999755859375,7.190469556198735,9.666669790740967,11.309017902421743,14.412563423077563,4.4530075130866535,-28.144842449323733,34.46687033721241,-0.05061432587402517
UNP,256.0899963378906,4.548192003859953,6.075406928119588,6.997437537547398,8.46260976170408,2.820096055389656,-13.110849559364596,16.694861999744887,-0.08811863802697614
PM,123.29000091552734,2.0328307993043353,2.8469340805295484,3.2573462129880255,4.424913584488178,1.2865461696448537,-12.560042678205136,7.605409431409214,-0.050040278187846315
INTU,630.260009765625,15.496607143488518,22.61361525619079,26.06505893581607,37.373298881149665,10.549676601703032,-92.06935170931342,95.14601186503387,0.7709971955824217
UPS,128.5500030517578,2.8720177812226666,4.585560068635993,5.508655501706613,7.5659926703155005,2.068046794300026,-21.48471487869419,22.888792055756397,0.0778357591306701
HON,207.91000366210938,3.3260816149575305,4.472250283781266,5.18477289262222,6.46395972207577,2.09665382829255,-11.02020036053176,10.362431657427862,0.04738060770243812
MS,103.61000061035156,2.450558709399445,3.444468103145896,4.314482522578089,5.305126852410211,1.5915741633748817,-8.801284562678887,12.562056931387303,0.012857563518207096
MDT,88.58000183105469,1.6752508800034462,2.392350746209874,2.8516994090480523,3.7132814692489045,1.065929327791603,-11.387946623548913,10.304335011117942,-0.007049332546207131
BMY,49.95000076293945,1.1577342572631153,1.8973682220013353,2.16311244493437,3.543044815667386,0.8206739759764242,-11.641572760033853,8.281573058527918,-0.01607290211227394
AMAT,197.25999450683594,7.697882209874564,10.774708165217936,12.33252979786434,16.31972632111664,4.851730928282119,-44.74284322882167,30.59009446709345,-0.09004264328437796
ORCL,141.2899932861328,3.5152911834072142,5.443013641120709,6.2734394989255975,9.983759837509186,3.0604009706857576,-34.27999518169787,110.92772798602431,0.02853199034067025
SCHW,65.0999984741211,1.7743392677444874,2.8562678456282806,3.4352528032549685,5.105945844827475,1.4087155900501873,-18.964258948451608,35.5237808988672,-0.03917051388500187
CVS,57.2400016784668,1.3976734894866567,2.2972462644138885,2.6350862930069354,4.185244131181753,0.9724174861024625,-10.521749181619278,5.578683155206882,0.040745225539717475
RTX,123.33999633789062,2.149080904802119,3.6037537084273126,4.183647835245608,6.803296671130244,1.5623091082334883,-22.59806027469905,19.04876471142137,-0.09217827967553154
C,62.63999938964844,1.5322179154955222,2.103817866173389,2.469127595389729,3.09157182729047,0.9789191451426852,-5.584203707739036,18.045398454791652,-0.03271539173036858
GS,510.25,11.874571869620013,15.739963946842632,18.074293491092533,22.135499626738447,7.198088015595988,-45.11998057073765,80.01762460295618,-0.316788590844283
AMGN,333.8299865722656,7.403155952304132,11.567227725327761,13.45039840693886,20.392582819995095,5.047485992677001,-59.81740336165478,51.34892101991176,-0.17154653527398192
BLK,896.5046997070312,17.735729071629294,22.926262244908646,26.193783773454015,30.72224000696823,10.864801388110562,-47.28879224567106,48.92884085218873,-0.16118149466480916
BA,173.74000549316406,5.38019764964065,7.943630279860317,9.443063696336054,12.93382666508806,3.5151464390342126,-27.580496583867586,31.473859661509664,0.08735862944730127
CAT,356.1000061035156,8.658268205301397,12.000421168767934,13.70395190980986,18.588953213923887,5.594428951281544,-32.62934901057889,38.060432576678465,0.2281426301744175
IBM,202.1300048828125,3.768014452081559,5.290478215248677,5.933276176151793,8.210240853500304,2.5527594961767797,-20.983274319980637,43.283751219089396,-0.09410093472828776
SBUX,94.56999969482422,2.3816855851074905,4.081993227346841,4.710900240611139,8.267933487785943,1.8928729217724085,-23.846692703846927,34.10006303768981,-0.08881731880207833
AMT,224.05999755859375,5.869479895761145,8.393436053979203,9.521953478691557,12.784400365269342,3.722278307467004,-33.130073716403984,28.129582158245142,-0.21206233899337518
GE,174.6199951171875,4.924345101117694,7.039421987699901,8.205065613209001,10.977075982010856,3.087323115783789,-22.15472934483884,35.63060365574589,-0.21201403348019215
ISRG,492.6300048828125,12.72427880581796,18.688883160942176,20.33866136398848,31.313550168055237,8.200074794059537,-78.285718888009,42.53845452555288,-0.3922281595339465
COP,113.79000091552734,2.5586257360438935,3.407313253634012,3.8691480765839117,4.9089269618644895,1.5610624761438994,-8.816303269253211,8.764756604057993,-0.013164284631678782
TGT,153.6199951171875,4.60713622297024,7.064506583331084,8.373645362997564,12.099959465034301,3.0103874972017293,-31.6091926627641,24.490728824858195,-0.25148051609045274
AXP,258.6499938964844,5.283567393253321,7.661272537692229,8.853301607718805,12.022292814978318,3.5420159274714056,-23.946403998892407,23.35955269489739,0.09612945962606503
DE,385.739990234375,8.803788690450347,12.914736691282982,14.535639584425269,21.099445088362636,5.735977277872482,-45.79766032004028,30.705913735290494,0.0864477468425919
