Date,Close/Last,Volume,Open,High,Low
12/02/2021,108.13,7134370,105.50,108.7618,105.26
12/01/2021,104.98,8642486,107.74,109.06,104.95
11/30/2021,106.74,6335842,108.15,108.43,106.65
11/29/2021,108.80,4825979,108.80,109.72,108.00
11/26/2021,108.00,3514669,109.50,109.50,107.36
11/24/2021,111.09,3227560,109.69,111.29,109.43
11/23/2021,109.76,3867838,109.11,110.08,108.70
11/22/2021,108.88,3352562,109.53,109.83,108.69
11/19/2021,109.42,2928939,110.08,110.18,109.01
11/18/2021,110.07,2812774,110.20,110.26,109.58
11/17/2021,110.05,4667953,109.43,110.1998,107.97
11/16/2021,109.71,3043881,110.51,110.59,109.46
11/15/2021,110.44,2713544,109.85,110.47,109.45
11/12/2021,109.67,3194256,110.05,110.08,109.36
11/11/2021,109.75,2395250,109.74,109.77,109.0013
11/10/2021,109.57,4021979,109.75,110.45,109.53
11/09/2021,110.08,2671597,110.01,110.32,109.76
11/08/2021,109.89,2989798,110.37,110.58,109.19
11/05/2021,109.98,3209276,110.41,111.27,109.88
11/04/2021,109.42,3378768,110.51,110.91,108.97
11/03/2021,110.47,2723201,110.17,110.77,109.61
11/02/2021,110.10,3405920,109.94,110.52,109.235
11/01/2021,109.58,5846487,109.30,109.795,107.79
10/29/2021,109.04,5990558,109.80,110.23,108.545
10/28/2021,110.28,3681016,108.86,110.30,108.7842
10/27/2021,108.76,3573005,110.10,110.10,108.75
10/26/2021,109.69,2940596,109.60,110.06,109.35
10/25/2021,109.39,2625346,109.20,109.665,108.3988
10/22/2021,109.04,4873244,108.67,109.41,108.57
10/21/2021,108.53,4849649,108.32,108.58,108.08
10/20/2021,108.38,6018925,106.85,108.38,106.78
10/19/2021,106.70,3104494,107.11,107.32,106.605
10/18/2021,106.65,3424127,105.94,107.00,105.78
10/15/2021,106.38,3065438,107.31,107.40,105.91
10/14/2021,106.46,2721949,105.79,106.56,105.52
10/13/2021,105.18,3371658,104.29,105.22,103.63
10/12/2021,104.42,3666472,103.32,104.86,103.04
10/11/2021,103.07,2634300,102.83,103.52,102.34
10/08/2021,102.81,5295592,103.78,103.905,102.73
10/07/2021,103.79,4055252,104.07,105.02,103.66
10/06/2021,103.51,5587934,102.11,103.64,101.00
10/05/2021,102.53,4313872,103.32,103.40,102.17
10/04/2021,103.24,5638846,103.10,103.69,102.60
10/01/2021,103.22,6106053,102.44,103.93,101.835
09/30/2021,101.78,7020345,103.835,103.95,101.78
09/29/2021,103.49,6227034,103.30,103.99,103.10
09/28/2021,102.72,7096550,102.83,103.29,102.09
09/27/2021,103.42,4310954,104.87,105.58,103.32
09/24/2021,104.83,4880972,105.68,106.095,104.59
09/23/2021,106.62,4042788,107.14,107.51,106.52
09/22/2021,106.83,4650449,106.57,107.48,106.095
09/21/2021,105.80,4371911,106.29,107.06,105.77
09/20/2021,105.75,6207026,105.222,106.36,104.49
09/17/2021,106.40,6964448,107.13,107.66,106.185
09/16/2021,107.36,3405168,107.18,107.87,106.565
09/15/2021,107.27,4027481,107.06,107.74,106.49
09/14/2021,106.93,3848171,107.69,107.73,106.3101
09/13/2021,107.12,5725340,107.33,108.01,106.82
09/10/2021,106.40,5894724,108.07,108.25,106.38
09/09/2021,107.98,6221351,109.62,109.74,107.95
09/08/2021,110.22,4265670,109.40,110.55,109.13
09/07/2021,109.67,4929394,110.65,110.74,108.815
09/03/2021,110.92,4460810,110.63,111.06,109.70
